,Product,fuel,odometer,paint_color,title_status,transmission,condition,engine_displaement,type,Price,year,City,Brand
91,1997 Kawasaki Vulcan VN1500D Classic for sale or trade AWESOME BIKE!!!,,,,,,,,,4000,1997,amarillo,kawasaki
92,1997 Road King,gas,33000,black,clean,manual,good,1340,touring,8250,1997,houston,road
93,1998 Harley Davidson Dyna low Rider,gas,39000,,,manual,like new,,,8000,1998,corpuschristi,harley
94,1998 Harley Davidson Softail Custom,gas,14700,black,clean,other,good,1485,other,9200,1998,houston,harley
95,1998 Harley-Davidson® FLSTF - Fat Boy® 95th Anniversary Edition,,,,,,,,,7990,1998,dallas,harleydavidson
96,1998 Honda Tour,gas,18000,black,clean,manual,excellent,1100,cruiser,4600,1998,dallas,honda
97,1998 Honda VT600CD  -Finance it with Instant Credit Approval!,,,,,,,,,2995,1998,dallas,honda
98,1998 Honda Valkyrie F6 Nice,gas,22995,black,clean,manual,excellent,1500,cruiser,4900,1998,houston,honda
99,"1998 KTM 300 EXC, not running",gas,10000,orange,missing,manual,,300,dirtbike,1000,1998,austin,ktm
100,1998 Kawasaki Kx125,gas,2500,,,manual,,,,2500,1998,beaumont,kawasaki
101,1998 SUZUKI TL 1000  -Finance it with Instant Credit Approval!,,,,,,,,,5995,1998,dallas,suzuki
102,1998 Suzuki GSXR 750 SRAD,gas,24463,silver,clean,manual,good,750,sport bike,4000,1998,houston,suzuki
103,1998 Suzuki RMX250,gas,250,,,manual,excellent,250,dirtbike,3250,1998,dallas,suzuki
104,1998 YAMAHA,gas,22500,red,clean,manual,excellent,1100,sport touring,3650,1998,mcallen,yamaha
105,1998 kawasaki Vulcan VN800 classic,gas,39029,,,manual,,,,1500,1998,houston,kawasaki
106,1999 *Harley-Davidson* *Road* *King* *Classic* *FUEL* INJECTED,other,40470,black,clean,manual,,,,6991,1999,abilene,harleydavidson
107,1999 BMW R 1200 C  -Finance it with Instant Credit Approval!,,,,,,,,,7995,1999,dallas,bmw
108,1999 HD FXDWG,gas,67947,,clean,manual,good,1500,cruiser,6500,1999,amarillo,hd
109,1999 Harley Fat Boy,gas,28000,black,clean,manual,like new,1400,cruiser,7500,1999,beaumont,harley
110,1999 Harley-Davidson Dyna Wide Gide,gas,41040,black,clean,manual,excellent,,cruiser,5495,1999,dallas,harleydavidson
111,1999 Kawasaki KLX 300,gas,0,,,manual,good,300,dual-sport,2400,1999,dallas,kawasaki
112,1999 Kawasaki Voyager XII,,,,,,,,,3200,1999,dallas,kawasaki
113,1999 Kawasaki ZRX1100,gas,13500,green,clean,manual,excellent,1100,sport bike,6500,1999,dallas,kawasaki
114,1999 Suzuki Intruder 1500,gas,37000,black,clean,manual,good,1500,standard,3200,1999,waco,suzuki
115,1999 honda goldwing,gas,53000,black,clean,manual,good,1500,,5000,1999,sanantonio,honda
116,2000  Suzuki,,,,,,,,,10500,2000,houston,suzuki
