,Product,Price,year,City,Brand
83,2017 *Harley-Davidson* *FLTRXS* *Road* *Glide* *Special*,24981,2017,abilene,*Harley-Davidson*
84,2020 *Harley-Davidson* *XL883N* *Sportster* *Iron*,9672,2020,abilene,*Harley-Davidson*
85,2012 *Harley-Davidson* *FLHTCUTG* *Tri* *Glide* *Ultra*,24752,2012,abilene,*Harley-Davidson*
86,2008 *Suzuki* *Boulevard* *C50* *VL800*,3991,2008,abilene,*Suzuki*
87,"2020 *Kawasaki* *ZR900FLFA* *Z900* *(Blue/Silver,* *ABS)*",9571,2020,abilene,*Kawasaki*
88,2011 *Harley-Davidson* *CVO* *Street* *Glide* *FLHXSE2*,18472,2011,abilene,*Harley-Davidson*
89,2003 *Harley-Davidson* *FLHRSEI* *Screamin'* *Egl* *Rd*,11752,2003,abilene,*Harley-Davidson*
90,2020 *MINI CHOPPER* *49CC* *KIDS* *SIZE* *BIKE*,999,2020,abilene,*MINI
91,2016 *Harley-Davidson* *XL1200V* *Sportster* *Seventy-Two*,10471,2016,abilene,*Harley-Davidson*
92,2003 *Harley-Davidson* *Heritage* *Softail* *Classic* *FLSTI*,7991,2003,abilene,*Harley-Davidson*
93,2020 *Harley-Davidson* *Street* *Bob* *FXBB*,15982,2020,abilene,*Harley-Davidson*
94,2017 *Indian Motorcycle* *Chieftan* *Black* Pearl,19991,2017,abilene,*Indian
95,2015 *BMW* *S1000* *R*,9981,2015,abilene,*BMW*
96,2015 *Harley-Davidson* *FLTRXS* *Road* *Glide*,21971,2015,abilene,*Harley-Davidson*
97,2022 *Can Am * *Defender* *Max* ** *X* *MR*,23751,2022,abilene,*Can
98,2019 *Harley-Davidson* *FLHCS* *Heritage* *Classic* *114*,18772,2019,abilene,*Harley-Davidson*
99,2018 *Triumph* *Street* *Triple* *R* ** *765*,10791,2018,abilene,*Triumph*
100,2013 *Harley-Davidson* *FXDF* *Dyna* *Fat*,11981,2013,abilene,*Harley-Davidson*
101,2016 *Harley-Davidson* *Road* *King* *FLHR*,15751,2016,abilene,*Harley-Davidson*
102,2021 *Suzuki* *DR-650S*,7291,2021,abilene,*Suzuki*
103,2007 Honda crx250,1800,2007,abilene,Honda
