,Product,fuel,odometer,paint_color,title_status,transmission,condition,engine_displaement,type,Price,year,City,Brand
571,2013 Kawasaki Ninja ZX6R ZX 6 R ZX-6-R ZX 6R ZX-6R for $171/mo a month,gas,4407,,clean,manual,excellent,,sport bike,8295,2013,dallas,honda
572,2013 Kawasaki Vulcan 900 Classic LT,,,,,,,,,4999,2013,dallas,honda
573,2013 Lingyu 150 CC,gas,36,white,clean,automatic,new,150,scooter,900,2013,dallas,ktm
574,2013 NC700X,gas,4896,silver,clean,other,,,,3500,2013,austin,kawasaki
575,2013 SUZUKI GSX-R750,gas,874,black,clean,automatic,,,,8980,2013,dallas,road
576,2013 Suzuki Boulevard S40,gas,2300,,clean,manual,good,650,cruiser,3400,2013,beaumont,suzuki
577,2013 Suzuki GSX-R 600 Horizontal In-line 599 cc,Unknown,23040,custom,clean,manual,,,,8999,2013,dallas,suzuki
578,2013 Suzuki GSX-R1000  -Finance it with Instant Credit Approval!,,,,,,,,,8995,2013,houston,suzuki
579,2013 Suzuki GSX-R1000 - FINANCING AVAILABLE!,,,,,,,,,9990,2013,beaumont,suzuki
580,2013 Suzuki GSXR GSX R GSX-R 750 for $206/mo a month!,gas,12387,,clean,manual,excellent,,sport bike,9995,2013,dallas,suzuki
581,2013 Suzuki GSXR600R GSXR 600 R GSXR-600-R  FOR ONLY,gas,7847,,clean,manual,excellent,,standard,7495,2013,dallas,suzuki
582,2013 Suzuki RMZ250,gas,1000,,clean,manual,excellent,250,dirtbike,3195,2013,dallas,suzuki
583,2013 Triumph Bonneville,gas,1091,white,clean,manual,like new,,,5900,2013,dallas,suzuki
584,2013 Triumph Tiger  800 ABS for $142/mo a month!,gas,17159,,clean,manual,excellent,,dual-sport,6895,2013,dallas,triumph
585,2013 Ural Gear Up - 2wd Adventure Sidecar Motorcycle,,,,,,,,,10900,2013,austin,triumph
586,"2013 Victory Highball, MINT, Extra, 3600 Miles, Title in Hand",gas,3600,black,clean,manual,like new,1700,cruiser,7999,2013,austin,victory
587,2013 Victory Motorcycles® Cross Country® Tour,gas,46727,black,clean,other,,106,,9999,2013,dallas,yamaha
588,2013 Yamaha FZ8 - FINANCING AVAILABLE!,,,,,,,,,6190,2013,dallas,yamaha
589,2013 Yamaha Stryker V Twin 1304 cc,Unknown,14332,black,clean,manual,,,,7999,2013,dallas,yamaha
590,2013 Yamaha Stryker®,Unknown,14332,black,clean,manual,,,,6990,2013,dallas,yamaha
591,2013 Yamaha V-star 1300 tourer,gas,17838,,clean,manual,excellent,,touring,7000,2013,austin,yamaha
592,2013 Yamaha YZF R1 Horizontal In-line 998 cc,,,,,,,,,10999,2013,dallas,honda
593,2013 Yamaha YZF R1 R 1 R-1 for $251/mo a month!,gas,11793,,clean,manual,excellent,,sport bike,12195,2013,dallas,harleydavidson
594,2013 Yamaha YZF-R1 Team Yamaha  -Premium Dealer!,,,,,,,,,9995,2013,dallas,harleydavidson
595,2013 honda crf150r obo,gas,Unknown,black,clean,manual,good,150,dirtbike,4500,2013,austin,harleydavidson
596,2013 triump 675R,,,,,,,,,9000,2013,sanantonio,harleydavidson
597,2014 *Harley-Davidson* *FLHTCUTG* *Tri* *Glide*,other,11653,blue,clean,manual,,,,28752,2014,abilene,bmw
598,2014 *Harley-Davidson* *FLHX* *Street* *Glide*,other,9506,grey,clean,manual,,,,16984,2014,abilene,bmw
599,2014 *Harley-Davidson* *FLHXS* *Street* *Glide*,other,21656,silver,clean,manual,,,,18472,2014,abilene,bmw
600,2014 *Harley-Davidson* *Street* *Glide* *Special* *FLHXS*,other,3720,grey,clean,manual,,,,18751,2014,abilene,canam
601,2014 BMW F800GS Adventure,gas,38731,,clean,manual,good,798,dual-sport,7800,2014,austin,ducati
602,2014 CVO Road King,gas,13000,custom,clean,manual,excellent,110,cruiser,18000,2014,easttexas,hd
603,2014 Can-Am® Spyder® RS SM5,gas,4322,black,clean,other,,,,11750,2014,dallas,hd
604,2014 Custom H-D Street Glide,gas,14697,black,clean,manual,excellent,,touring,14000,2014,houston,honda
605,2014 Ducati Monster 1200 S,gas,25553,red,clean,other,,,,10950,2014,dallas,harley
606,2014 Ducati Panigale 1199S,,,,,,,,,16500,2014,corpuschristi,harley
607,2014 Ducati Superbike 1199 Panigale,gas,15400,,clean,manual,,,sport bike,12900,2014,houston,harley
608,2014 FLHTK Ultra Limted,gas,22666,custom,clean,manual,excellent,,touring,15900,2014,dallas,harley
609,2014 Genuine Buddy 125,gas,2562,blue,clean,automatic,excellent,125,scooter,2000,2014,austin,harley
610,2014 Genuine Buddy 170i Pamplona,gas,4500,red,clean,automatic,excellent,170,scooter,3250,2014,austin,harley
611,2014 HD Heritage Softtail,gas,35000,,,manual,excellent,,,10000,2014,dallas,harley
612,2014 HONDA CTX700 DCT ABS AUTOMATIC 1850 MILES VERY NICE,gas,1850,black,clean,automatic,excellent,700,cruiser,5500,2014,houston,harley
613,2014 Harley Davidson Breakout,gas,4301,black,clean,manual,like new,1690,cruiser,14500,2014,abilene,harley
614,2014 Harley Davidson Iron 883,gas,7000,black,clean,manual,,883,,5999,2014,austin,harleydavidson
615,2014 Harley Davidson street glide special,gas,9500,orange,clean,manual,excellent,1690,sport touring,21500,2014,corpuschristi,harleydavidson
616,2014 Harley Heritage Classic,gas,2850,red,,manual,,,,10000,2014,brownsville,harleydavidson
617,2014 Harley Street Glide,other,4494,grey,clean,manual,,,,15500,2014,austin,harleydavidson
618,2014 Harley Street Glide - Loaded - Low miles!,gas,5344,,clean,other,,,,17900,2014,beaumont,harleydavidson
