,Product,Price,year,City,Brand
231,2004 harley davidson electra glide ultra classic,8300,2004,sanantonio,harley
232,2004 yz85,2500,2004,beaumont,yz85
233,2005 *Harley-Davidson* *Dyna* *Wide* *Glide* *FXDWGI*,6782,2005,abilene,harleydavidson
234,2005 Custom heritage softail,123456,2005,dallas,custom
235,2005 FXS Harley,7000,2005,austin,fxs
236,2005 HD FLHPI - Road King Police,7000,2005,austin,hd
237,2005 HD FXDI,6900,2005,amarillo,hd
238,2005 HD Softail Deluxe,7250,2005,dallas,hd
239,2005 HD VRSCSE Screamin Eagle,15000,2005,houston,hd
240,2005 Harley Davidson,6800,2005,austin,harley
241,2005 Harley Davidson Nightster 1200,7200,2005,dallas,harley
242,2005 Harley Davidson Softtail Springer,10000,2005,austin,harley
243,2005 Harley Davidson Ultra Classic,6500,2005,sanantonio,harley
244,2005 Harley-Davidson Ultra Classic w/sidecar SKU:M0204,32980,2005,dallas,harleydavidson
245,2005 Harley-Davidson® FLHRCI - Road King® Classic,8850,2005,sanantonio,harleydavidson
246,2005 Harley-Davidson® FLHRI - Road King®,9850,2005,dallas,harleydavidson
247,2005 Harley-Davidson® FLHRS - Road King Custom V Twin 1442.1 cc,7985,2005,austin,harleydavidson
248,2005 Harley-Davidson® FLHTCUI - Electra Glide,6999,2005,amarillo,harleydavidson
249,2005 Harley-Davidson® FLSTCI - Heritage Softail® Classic,7996,2005,dallas,harleydavidson
250,2005 Harley-Davidson® VRSCA - V-Rod® A,7950,2005,austin,harleydavidson
251,2005 Honda CBR600RR CBR 600 RR CBR-600-RR  FOR ONLY,5495,2005,dallas,honda
252,2005 Honda CRF70F,1400,2005,beaumont,honda
253,"2005 Honda Gold Wing 1800 ABS, 5 Speed 30th Anniversary Fully Loaded",6500,2005,collegestation,honda
254,2005 Honda Gold Wing California Sidecar Trike,23999,2005,amarillo,honda
255,2005 Honda VTX 1300,4500,2005,collegestation,honda
256,2005 Honda VTX 1800,6500,2005,brownsville,honda
257,2005 Kawasaki Concours ZG1000,3200,2005,austin,kawasaki
258,2005 Kawasaki Vulcan 500 Ltd,2350,2005,austin,kawasaki
259,2005 Suzuki 800 Boulavard,3500,2005,houston,suzuki
260,2005 Suzuki Boulevard M50,1500,2005,houston,suzuki
261,2005 Suzuki V-Strom 1000 Suzuki V-Strom 1000,5999,2005,amarillo,suzuki
262,2005 Yamaha 1100 Vstar,5999,2005,houston,yamaha
263,2005 Yamaha Road Star 1700,4500,2005,austin,yamaha
264,2005 Yamaha V Star,995,2005,easttexas,yamaha
265,2005 Yamaha VStar 650 For Sale,3500,2005,dallas,yamaha
266,2005 ultra classic Harley,7500,2005,corpuschristi,ultra
267,2005 yamaha r6,7000,2005,dallas,yamaha
268,2006 BMW R GSA 1150,5400,2006,corpuschristi,bmw
269,2006 BMW R1200GS ABS,7400,2006,beaumont,bmw
270,2006 CBR 600RR,4999,2006,dallas,cbr
271,2006 Ducati 749S,6500,2006,beaumont,ducati
272,2006 Ducati Monster 620 Dark,4000,2006,austin,ducati
273,2006 Dyna Wide Glide FXDWG,7999,2006,houston,dyna
274,2006 Goldwing,7800,2006,abilene,goldwing
275,2006 HD Deluxe Softtail,9000,2006,dallas,hd
276,2006 HD FXDL Dyna Low Rider,7500,2006,houston,hd
277,2006 HD Fat Boy CVO Screaming Eagle,9750,2006,dallas,hd
278,2006 HDFat Boy,7200,2006,abilene,hdfat
279,2006 HONDA DFT GOLDWING TRIKE Honda DFT GOLDWING TRIKE,19999,2006,abilene,honda
280,2006 Harley Davidson Sportser 1200,5000,2006,austin,harley
281,2006 Harley Davidson Street Glide 27k miles,8500,2006,dallas,harley
282,2006 Harley Davidson XL Sportster 1200 Custom Bobber,5000,2006,dallas,harley
283,2006 Harley-Davidson Electra Glide,6795,2006,dallas,harleydavidson
284,2006 Harley-Davidson FXDI Super-Glide,8500,2006,beaumont,harleydavidson
285,2006 Harley-Davidson® FLHTPI - Electra Glide® Police,8999,2006,dallas,harleydavidson
286,2006 HarleySportster,5000,2006,corpuschristi,harleysportster
287,2006 Honda CBR600RR,5500,2006,dallas,honda
288,2006 Honda Gold Wing Audio / Comfort Navi ABS,8999,2006,abilene,honda
289,2006 Honda Goldwing 1800,13500,2006,dallas,honda
290,2006 Honda Goldwing 1800 Navigation & More!,8695,2006,sanantonio,honda
291,2006 Honda Goldwing 1800 Trike,22995,2006,beaumont,honda
292,2006 Honda Metropolitan Scooter,1500,2006,austin,honda
293,2006 Honda Rebel,1500,2006,corpuschristi,honda
294,2006 Honda ST-1300,4900,2006,abilene,honda
295,2006 Honda ST1300 Pan European,4900,2006,austin,honda
296,2006 Honda Shadow Aero,4000,2006,houston,honda
297,2006 Honda VTX 1300 R Honda VTX 1300 R,5999,2006,abilene,honda
298,2006 Honda VTX 1300S,4750,2006,austin,honda
299,2006 Honda VTX 1800,6000,2006,austin,honda
300,2006 Honda VTX 1800C,4500,2006,corpuschristi,honda
301,2006 Honda VTX1800 & 2007 Yamaha FZ6,4500,2006,corpuschristi,honda
302,2006 KAWASAKI,7000,2006,easttexas,kawasaki
303,2006 Kawasaki Ninja ZX-6R,3900,2006,dallas,kawasaki
304,2006 Kawasaki Ninja® ZX-14,6950,2006,dallas,kawasaki
305,2006 Kawasaki Ninja® ZX-6R,4996,2006,austin,kawasaki
306,2006 Kawasaki ninja 650,3500,2006,houston,kawasaki
307,2006 MV Agusta Brutale 910 R,5950,2006,austin,mv
308,2006 Suzuki Boulevard C90 Black V Twin 1475 cc,3999,2006,dallas,suzuki
309,2006 Suzuki Cruiser Boulevard C50,4200,2006,dallas,suzuki
310,2006 Suzuki Hayabusa,8300,2006,dallas,suzuki
311,2006 Suzuki SV650,4000,2006,dallas,suzuki
312,2006 Suzuki VZR-1800,3500,2006,dallas,suzuki
313,2006 V-rod,8500,2006,easttexas,vrod
314,2006 YAMAHA STRATOLINER,5800,2006,easttexas,yamaha
315,"2006 YAMAHA YZF600R 21,323 MILES NEW TIRES NO ACCIDENTS CLEAN CARFAX",4499,2006,corpuschristi,yamaha
316,2006 Yamaha RoadStar 1700,6300,2006,austin,yamaha
317,2006 Yamaha YZF-R6 R,6500,2006,dallas,yamaha
318,2006 honda crf250x only 4 hours on bike,4500,2006,beaumont,honda
319,2006 zx14 stretched,3595,2006,corpuschristi,zx14
320,2007 Big Dog K9,15000,2007,abilene,big
321,2007 CRF450R,3200,2007,austin,crf450r
322,2007 FXSTD Softail Standard,8700,2007,austin,fxstd
