,Unnamed: 0,Product,fuel,odometer,paint_color,title_status,transmission,condition,engine_displaement,type,Price,year,City,Brand
76,76,"1998 KTM 300 EXC, not running",gas,10000,orange,missing,manual,,300,dirtbike,1000,1998,Austin,KTM
77,77,1998 Kawasaki Kx125,gas,2500,,,manual,,,,2500,1998,Beaumont,Kawasaki
78,78,1998 SUZUKI TL 1000  -Finance it with Instant Credit Approval!,,,,,,,,,5995,1998,Dallas,Suzuki
79,79,1998 Suzuki GSXR 750 SRAD,gas,24463,silver,clean,manual,good,750,sport bike,4000,1998,Houston,Suzuki
80,80,1998 Suzuki RMX250,gas,250,,,manual,excellent,250,dirtbike,3250,1998,Dallas,Suzuki
81,81,1998 YAMAHA,gas,22500,red,clean,manual,excellent,1100,sport touring,3650,1998,Mcallen,Yamaha
82,82,1998 kawasaki Vulcan VN800 classic,gas,39029,,,manual,,,,1500,1998,Houston,Kawasaki
83,83,1999 *Harley-Davidson* *Road* *King* *Classic* *FUEL* INJECTED,other,40470,black,clean,manual,,,,6991,1999,Abilene,Harley Davidson
84,84,1999 BMW R 1200 C  -Finance it with Instant Credit Approval!,,,,,,,,,7995,1999,Dallas,BMW
85,85,1999 HD FXDWG,gas,67947,,clean,manual,good,1500,cruiser,6500,1999,Amarillo,Harley Davidson
86,86,1999 Harley Fat Boy,gas,28000,black,clean,manual,like new,1400,cruiser,7500,1999,Beaumont,Harley Davidson
87,87,1999 Harley-Davidson Dyna Wide Gide,gas,41040,black,clean,manual,excellent,,cruiser,5495,1999,Dallas,Harley Davidson
88,88,1999 Kawasaki KLX 300,gas,0,,,manual,good,300,dual-sport,2400,1999,Dallas,Kawasaki
89,89,1999 Kawasaki Voyager XII,,,,,,,,,3200,1999,Dallas,Kawasaki
90,90,1999 Kawasaki ZRX1100,gas,13500,green,clean,manual,excellent,1100,sport bike,6500,1999,Dallas,Kawasaki
91,91,1999 Suzuki Intruder 1500,gas,37000,black,clean,manual,good,1500,standard,3200,1999,Waco,Suzuki
92,92,1999 honda goldwing,gas,53000,black,clean,manual,good,1500,,5000,1999,San Antonio,Honda
93,93,2000  Suzuki,,,,,,,,,10500,2000,Houston,Suzuki
